Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
coutureroyals,coutureroyals,,0,0,0,0,0,0,0,2
southernhustle,southernhustle,,0,0,0,0,0,0,0,0
punchbowlnews,punchbowlnews,,0,0,0,0,0,0,0,0
wheelsofthesyst,wheelsofthesyst,,0,0,0,0,0,0,0,0
superscuba83,superscuba83,,2,0,2,0,0,0,0,8
alo1616,alo1616,,0,0,0,0,0,0,0,0
sussexsquadpod,sussexsquadpod,,0,2,2,1,1,1,0,3
richydee,richydee,,0,0,0,0,0,0,0,0
abhinavkr,abhinavkr,,0,0,0,0,0,0,0,0
jg35580758,jg35580758,,0,0,0,0,0,0,0,0
nikkiwatitdo,nikkiwatitdo,,0,1,1,1,1,1,0,8
royalcentral,royalcentral,,2,0,2,0,0,0,0,8
frygilly,frygilly,,0,0,0,0,0,0,0,0
traylorholmes,traylorholmes,,0,0,0,0,0,0,0,0
doreenw29498044,doreenw29498044,,0,0,0,0,0,0,0,0
sabirahlohn,sabirahlohn,,3,0,3,0,0,0,0,13
darksldeoftmoon,darksldeoftmoon,,0,0,0,0,0,0,0,0
enews,enews,,3,0,3,0,0,0,0,8
panderoona,panderoona,,0,0,0,0,0,0,0,0
prettykitty_,prettykitty_,,0,0,0,0,0,0,0,0
medicgist,medicgist,,0,0,0,0,0,0,0,0
mreteachs,mreteachs,,0,0,0,0,0,0,0,0
tartannancy,tartannancy,,0,0,0,0,0,0,0,0
kensingtonroyal,kensingtonroyal,,10,0,10,0,0,0,0,9
cosmiccassiemc,cosmiccassiemc,,0,0,0,0,0,0,0,0
lolac29231110,lolac29231110,,0,0,0,0,0,0,0,0
newscambridges,newscambridges,,0,0,0,0,0,0,0,0
justrowanaround,justrowanaround,,0,0,0,0,0,0,0,0
chrisjack_getty,chrisjack_getty,,5,0,5,0,0,0,0,9
letyfalcon,letyfalcon,,0,0,0,0,0,0,0,0
panquequereal,panquequereal,,0,0,0,0,0,0,0,0
cadimamartins,cadimamartins,,0,0,0,0,0,0,0,0
smileyval05,smileyval05,,0,0,0,0,0,0,0,0
itvnews,itvnews,,0,0,0,0,0,0,0,4
cambridgecrown,cambridgecrown,,3,0,3,0,0,0,0,18
rjmyers,rjmyers,,5,0,5,0,0,0,0,13
septimbersells,septimbersells,,0,0,0,0,0,0,0,0
joannainny_mph,joannainny_mph,,0,0,0,0,0,0,0,0
tatum0420,tatum0420,,0,2,2,1,1,1,0,8
leelowbird,leelowbird,,0,0,0,0,0,0,0,0
rebekkamary,rebekkamary,,0,0,0,0,0,0,0,0
onamimi17,onamimi17,,0,0,0,0,0,0,0,0
acupofanna,acupofanna,,0,0,0,0,0,0,0,0
cosmopeleton,cosmopeleton,,0,0,0,0,0,0,0,0
lizbilney,lizbilney,,0,0,0,0,0,0,0,0
ded_engelbrecht,ded_engelbrecht,,0,0,0,0,0,0,0,0
alleged84206983,alleged84206983,,0,3,3,1,1,1,0,13
richardaeden,richardaeden,,2,0,2,0,0,0,0,13
slickdame,slickdame,,0,0,0,0,0,0,0,0
