Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
tctuba72,tctuba72,,0,0,0,0,0,0,0,0
karenri86166840,karenri86166840,,0,0,0,0,0,0,0,0
dj_carr93,dj_carr93,,0,0,0,0,0,0,0,0
metrouk,metrouk,,0,0,0,0,0,0,0,0
drewpdrew91,drewpdrew91,,2,0.666667,0.75,0,9,0,2,2
lanterisharon,lanterisharon,,0,0,0,0,0,0,0,0
orthodontella,orthodontella,,0,0,0,0,0,0,0,0
kadybug00,kadybug00,,0,0,0,0,9,4,0,4
jopollee,jopollee,,0,0,0,0,0,0,0,0
chiomaeucheria,chiomaeucheria,,2,0.583333,0.642857,0,1,0,2,2
evenleystar,evenleystar,,0,0,0,0,0,0,0,0
nnek01,nnek01,,0,0,0,0,0,0,0,0
magarimogale,magarimogale,,0,0,0,0,0,0,0,0
gbigkevin,gbigkevin,,0,0,0,0,0,0,0,0
susannareid100,susannareid100,,0,0,0,0,0,0,0,0
carola_andrea_,carola_andrea_,,0,0,0,0,0,0,0,0
johntmurphy1943,johntmurphy1943,,0,0,0,0,0,0,0,0
thejeremyvine,thejeremyvine,,0,0,0,0,0,0,0,0
hannahlewis808,hannahlewis808,,0,0,0,0,0,0,0,0
3malibus,3malibus,,0,0,0,0,0,0,0,0
burlingtonwifi,burlingtonwifi,,0,0,0,0,0,0,0,0
ctvnationalnews,ctvnationalnews,,0,0,0,0,0,0,0,0
iansmithson4,iansmithson4,,0,0,0,0,0,0,0,0
dondona246,dondona246,,0,0,0,0,0,0,0,0
foxesdale,foxesdale,,0,0,0,0,0,0,0,0
uk_sf_writer,uk_sf_writer,,0,0,0,0,0,0,0,0
veronic21128303,veronic21128303,,0,0,0,0,0,0,0,0
enelradarcom,enelradarcom,,0,0,0,0,0,0,0,0
icitizen12,icitizen12,,0,0,0,0,0,0,0,0
radseed,radseed,,0,0,0,0,0,0,0,0
ol0ol0o,ol0ol0o,,0,0,0,0,0,0,0,0
rose_tootla,rose_tootla,,3,0.552632,0.642857,0,17,0,7,7
alleged84206983,alleged84206983,,1,1,1,0,13,0,4,4
hakimadga,hakimadga,,0,0,0,0,0,0,0,0
crocusville,crocusville,,0,0,0,0,0,0,0,0
desm7496,desm7496,,0,0,0,0,0,0,0,0
a_a_lou,a_a_lou,,0,0,0,0,0,0,0,0
chrisjack_getty,chrisjack_getty,,0,0,0,0,0,0,0,0
vickyodonnell01,vickyodonnell01,,0,0,0,0,0,0,0,0
lsw12612672511,lsw12612672511,,0,0,0,0,0,0,0,0
estonian01,estonian01,,2,0.833333,0.9,13,17,3,4,7
jjparke83477408,jjparke83477408,,0,0,0,0,0,0,0,0
davewhiteman101,davewhiteman101,,2,0.666667,0.75,2,17,1,1,2
mrsmacchan,mrsmacchan,,0,0,0,0,0,0,0,0
ijsatterthwaite,ijsatterthwaite,,0,0,0,0,0,0,0,0
prisonplanet,prisonplanet,,0,0,0,0,0,0,0,0
uk999ers,uk999ers,,0,0,0,0,0,0,0,0
irishheart1960,irishheart1960,,0,0,0,0,0,0,0,0
epattoncc,epattoncc,,0,0,0,0,0,0,0,0
summerrhapsody,summerrhapsody,,6,0.286885,0.420952,0,1,0,7,7
shylockssister,shylockssister,,0,0,0,0,0,0,0,0
bberrybeth365,bberrybeth365,,0,0,0,0,0,0,0,0
ladyjacq66,ladyjacq66,,0,0,0,0,0,0,0,0
royalbunions,royalbunions,,0,0,0,0,0,0,0,0
karenonsteroids,karenonsteroids,,0,0,0,0,0,0,0,0
mariannevalen20,mariannevalen20,,0,0,0,0,0,0,0,0
laughoutlander,laughoutlander,,0,0,0,0,0,0,0,0
otoolebrown,otoolebrown,,0,0,0,0,0,0,0,0
lozzafox,lozzafox,,0,0,0,0,0,0,0,0
gartnerjameie,gartnerjameie,,0,0,0,0,0,0,0,0
vjessben,vjessben,,0,0,0,0,0,0,0,0
bazaritodorito,bazaritodorito,,0,0,0,0,0,0,0,0
vee_victory,vee_victory,,3,0.5625,0.648148,0,17,0,3,3
roseblooddrops,roseblooddrops,,0,0,0,0,0,0,0,0
vavra29,vavra29,,0,0,0,0,0,0,0,0
tia48544709,tia48544709,,0,0,0,0,0,0,0,0
squad_sussex,squad_sussex,,0,0,0,0,0,0,0,0
saturnreturnzz,saturnreturnzz,,2,0.75,0.833333,0,1,0,2,2
eliana_bovenje,eliana_bovenje,,0,0,0,0,0,0,0,0
tballard_terri,tballard_terri,,0,0,0,0,0,0,0,0
ginou1010,ginou1010,,1,1,1,2,17,1,1,2
